Image,Frequency_Preservation,Frequency_Error
000000,1.0,0.9861204625369374
000001,1.0,3.616340459052602
000002,1.0,2.6008486117166054
000003,1.0,2.0922095421091687
000004,0.7923303311274944,0.2076696688725056
000005,1.0,0.004683122744466284
000006,0.9665160830616829,0.03348391693831709
000007,1.0,0.0202407727200199
000008,1.0,0.017719088193476753
000009,1.0,0.22816394673703905
000010,1.0,0.5533839736885933
000011,1.0,0.06409805579748326
000012,1.0,1.1751246822735817
000013,1.0,0.7745726889349758
000014,1.0,0.8522414281734252
000015,1.0,0.3902727550758307
000016,1.0,2.7480533750252607
000017,1.0,0.12374585149550901
000018,1.0,0.2699687599281655
000019,1.0,0.14893537640892465
000020,1.0,12.271771859058871
000021,1.0,1.369938335542519
000022,1.0,1.3887806534134
000023,1.0,1.1628438917838113
000024,0.7867157477391868,0.21328425226081313
000025,0.6716445792168027,0.32835542078319735
000026,0.6773634808815796,0.3226365191184204
000027,0.7040203905824568,0.29597960941754314
000028,1.0,2.818060469994012
000029,1.0,0.7791312006250961
000030,1.0,0.4471017935306816
000031,1.0,0.6956994419223699
000032,1.0,2.0957599579501767
000033,1.0,0.1478880501115768
000034,1.0,0.19938242515173296
000035,1.0,0.29132242198986485
000036,1.0,1.4019850367891529
000037,1.0,1.7091082630721701
000038,1.0,2.3947375896132725
000039,1.0,1.2478098259951924
000040,1.0,0.7088955705440297
000041,1.0,0.02438090948345705
000042,1.0,0.13751332654861514
000043,0.9872276389832535,0.012772361016746489
000044,0.6530917642382164,0.3469082357617836
000045,1.0,0.3445735288381259
000046,1.0,0.2736551789716879
000047,1.0,0.280203196497915
000048,1.0,0.8005132988880599
000049,0.5533013698363477,0.4466986301636523
000050,0.5805171236982634,0.41948287630173664
000051,0.6036059391889685,0.39639406081103146
000052,1.0,1.5060082393079195
000053,1.0,0.06989676164107024
000054,1.0,0.19533369909094406
000055,1.0,0.22938849805604286
000056,1.0,0.1128561656476717
000057,1.0,6.725178099657058
000058,1.0,4.2830099825446535
000059,1.0,6.270148488264187
000060,1.0,1.3358588796547721
000061,1.0,4.851011881123746
000062,1.0,5.202797217251256
000063,1.0,6.6372650916724885
000064,1.0,1.2845540119558811
000065,1.0,0.9680418440316974
000066,1.0,0.7810735210396317
000067,1.0,0.3956961635997955
000068,1.0,1.2670952009223428
000069,1.0,0.2744645088328052
000070,1.0,0.31051287154207646
000071,1.0,0.3221759177681961
000072,1.0,0.13948314129689474
000073,1.0,0.32228170101170395
000074,1.0,0.2935004410546307
000075,1.0,0.5374913653125404
000076,1.0,2.8539259413825784
000077,1.0,0.9852871024411499
000078,1.0,0.5075574008335211
000079,1.0,1.2609234550572672
000080,1.0,0.5036419216356504
000081,0.8109899041397494,0.18901009586025058
000082,0.8927139283870931,0.10728607161290689
000083,0.8775024428154652,0.12249755718453484
000084,0.7257999465313627,0.2742000534686373
000085,0.9384882217977202,0.061511778202279856
000086,0.7269284991734487,0.2730715008265513
000087,0.7382344117812714,0.26176558821872864
000088,1.0,70.56464113850376
000089,1.0,5.013781707154768
000090,1.0,3.2847880088724897
000091,1.0,3.791987082390547
000092,1.0,0.31597206345363266
000093,1.0,0.9103117099764099
000094,1.0,0.8147310284721944
000095,1.0,0.8836714166564592
000096,0.8748910521848517,0.1251089478151483
000097,1.0,0.8468469319132016
000098,1.0,0.85913471998764
000099,1.0,0.8562837343466885
000100,1.0,1.7291816553362087
000101,1.0,11.740057228226533
000102,1.0,15.291054883921968
000103,1.0,12.959221756464624
000104,1.0,1.5859089040852832
000105,1.0,2.3365979125312886
000106,1.0,1.7029371316776447
000107,1.0,2.3576560992060296
000108,0.5797533675559841,0.42024663244401594
000109,0.6639947410378824,0.3360052589621177
000110,0.6588758664756187,0.3411241335243813
000111,0.6830972038826879,0.3169027961173121
000112,1.0,0.08428001563845877
000113,1.0,5.656713141671229
000114,1.0,6.715067508679659
000115,1.0,3.4625638937656853
000116,1.0,0.30899447292840865
000117,1.0,0.23727738363059206
000118,1.0,0.19396094553821636
000119,1.0,0.4229432812983607
000120,1.0,1.0850554169398174
000121,1.0,0.7109915697487791
000122,1.0,1.5831907996488361
000123,1.0,0.8438536791537604
000124,0.7572339926970504,0.24276600730294962
000125,1.0,0.1372912211621669
000126,1.0,0.0721350973721957
000127,1.0,0.12703791963157998
000128,1.0,17.36262347329499
000129,1.0,0.031151339165306588
000130,0.9644375871399772,0.035562412860022784
000131,0.9220752069967126,0.07792479300328738
000132,1.0,5.5327489770584855
000133,1.0,0.043400815201827106
000134,0.9037092189700437,0.09629078102995628
000135,1.0,0.012855676392640687
000136,1.0,0.21034555486459833
000137,0.6680231035604185,0.33197689643958156
000138,0.7062379977010474,0.29376200229895255
000139,0.7581974851955291,0.24180251480447093
000140,1.0,0.04519009366146217
000141,0.9650616959618115,0.03493830403818857
000142,0.9722498345958791,0.027750165404120893
000143,1.0,0.022230676968722215
000144,1.0,0.49848041396927284
000145,1.0,2.826309076738955
000146,1.0,4.580843608831915
000147,1.0,3.128479721848025
000148,1.0,0.6247067410142539
000149,1.0,2.3346243697084414
000150,1.0,3.873469909512955
000151,1.0,3.542231154751195
000152,0.938273588799945,0.06172641120005496
000153,1.0,3.3840037496550783
000154,1.0,9.017634179016483
000155,1.0,4.716674490431752
000156,0.978342528066308,0.02165747193369205
000157,0.9209111059960806,0.0790888940039194
000158,0.875825235908059,0.12417476409194098
000159,0.8554123229627163,0.14458767703728367
000160,1.0,0.5558214339565609
000161,1.0,1.256739382453108
000162,1.0,1.3820135082674203
000163,1.0,0.8804502422021734
000164,1.0,0.8783184146503434
000165,1.0,4.602225072684852
000166,1.0,4.862270001071676
000167,1.0,5.931159877849768
000168,1.0,0.5285345163480522
000169,1.0,9.301701789780147
000170,1.0,17.42709880314581
000171,1.0,2.5069644396324153
000172,1.0,2.828031044343333
000173,1.0,0.2780750770062069
000174,0.9694670866664137,0.030532913333586344
000175,1.0,0.21795343265556938
000176,0.9318864965995819,0.06811350340041807
000177,1.0,1.7622505803641335
000178,1.0,6.142859228780063
000179,1.0,0.6080320793834652
000180,1.0,0.26860572629501867
000181,1.0,0.12345151408496605
000182,1.0,0.04069331343316514
000183,1.0,0.18661926261375342
000184,1.0,0.13660595058083583
000185,1.0,1.0702920258779303
000186,1.0,1.405768755337752
000187,1.0,1.799351656514307
000188,0.955795324455769,0.04420467554423098
